series,timestamp,value,label
s1,2023-01-22T14:03:41Z,955,
s1,2023-01-22T14:03:42Z,954,
s1,2023-01-22T14:03:43Z,953,
s1,2023-01-22T14:03:44Z,953,
s1,2023-01-22T14:03:45Z,952,
s1,2023-01-22T14:03:46Z,951,
s1,2023-01-22T14:03:47Z,951,
s1,2023-01-22T14:03:48Z,951,
s1,2023-01-22T14:03:49Z,951,
s1,2023-01-22T14:03:50Z,951,
s1,2023-01-22T14:03:51Z,951,
s1,2023-01-22T14:03:52Z,951,
s1,2023-01-22T14:03:53Z,951,
s1,2023-01-22T14:03:54Z,952,
s1,2023-01-22T14:03:55Z,951,
s1,2023-01-22T14:03:56Z,951,
s1,2023-01-22T14:03:57Z,951,
s1,2023-01-22T14:03:58Z,951,
s1,2023-01-22T14:03:59Z,950,
s1,2023-01-22T14:04:00Z,950,
s1,2023-01-22T14:04:01Z,949,
s1,2023-01-22T14:04:02Z,948,
s1,2023-01-22T14:04:03Z,948,
s1,2023-01-22T14:04:04Z,948,
s1,2023-01-22T14:04:05Z,948,
s1,2023-01-22T14:04:06Z,949,
s1,2023-01-22T14:04:07Z,950,
s1,2023-01-22T14:04:08Z,950,
s1,2023-01-22T14:04:09Z,950,
s1,2023-01-22T14:04:10Z,950,
s1,2023-01-22T14:04:11Z,950,
s1,2023-01-22T14:04:12Z,950,
s1,2023-01-22T14:04:13Z,950,
s1,2023-01-22T14:04:14Z,950,
s1,2023-01-22T14:04:15Z,950,
s1,2023-01-22T14:04:16Z,951,
s1,2023-01-22T14:04:17Z,951,
s1,2023-01-22T14:04:18Z,952,
s1,2023-01-22T14:04:19Z,952,
s1,2023-01-22T14:04:20Z,952,
s1,2023-01-22T14:04:21Z,952,
s1,2023-01-22T14:04:22Z,952,
s1,2023-01-22T14:04:23Z,952,
s1,2023-01-22T14:04:24Z,952,
s1,2023-01-22T14:04:25Z,952,
s1,2023-01-22T14:04:26Z,952,
s1,2023-01-22T14:04:27Z,952,
s1,2023-01-22T14:04:28Z,952,
s1,2023-01-22T14:04:29Z,951,
s1,2023-01-22T14:04:30Z,951,
s1,2023-01-22T14:04:31Z,951,
s1,2023-01-22T14:04:32Z,951,
s1,2023-01-22T14:04:33Z,951,
s1,2023-01-22T14:04:34Z,951,
s1,2023-01-22T14:04:35Z,951,
s1,2023-01-22T14:04:36Z,951,
s1,2023-01-22T14:04:37Z,951,
s1,2023-01-22T14:04:38Z,951,
s1,2023-01-22T14:04:39Z,951,
s1,2023-01-22T14:04:40Z,951,
